Trade_Name,Code,Classification,Exam,Red_Seal,Trade_Details,Trade_Link
Painter and Decorator — Commercial and Residential,404C,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/painter-and-decorator-commercial-and-residential/
Painter and Decorator — Industrial,404D,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/painter-and-decorator-industrial/
Parts Technician,240P,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/parts-technician/
Pattern Maker,443A,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/pattern-maker/
Plumber,306A,Compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/plumber/
Powered Lift Truck Technician,282E,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/powered-lift-truck-technician/
Powerline Technician,434A,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/powerline-technician/
Precast Concrete Erector,244K,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/precast-concrete-erector/
Precast Concrete Finisher,244L,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/precast-concrete-finisher/
Pressure Systems Welder,456P,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/pressure-systems-welder/
Process Operator – Food Manufacturing,246T,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/process-operator-food-manufacturing/
Process Operator – Power,246R,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/process-operator-power/
"Process Operator – Refinery, Chemical and Liquid Processes",246F,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/process-operator-refinery-chemical-and-liquid-processes/
Process Operator – Wood Products,246W,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/process-operator-wood-products/
Railway Car Technician,268R,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/railway-car-technician/
Recreation Vehicle Technician,690H,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/recreation-vehicle-technician/
Refractory Mason,401R,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/refractory-mason/
Refrigeration and Air Conditioning Systems Mechanic,313A,Compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/refrigeration-and-air-conditioning-systems-mechanic/
Reinforcing Rodworker,452A,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/reinforcing-rodworker/
Relay and Instrumentation Technician,288R,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/relay-and-instrumentation-technician/
Residential (Low Rise) Sheet Metal Installer,308R,Compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/residential-low-rise-sheet-metal-installer/
Residential Air Conditioning Systems Mechanic,313D,Compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/residential-air-conditioning-systems-mechanic/
Restoration Mason,244H,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/restoration-mason/
Retail Meat Cutter,245R,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/retail-meat-cutter/
Roofer,449A,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/roofer/
Saddlery,219C,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/saddlery/
Saw Filer/Fitter,611B,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/saw-filerfitter/
Sheet Metal Worker,308A,Compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/sheet-metal-worker/
Small Engine Technician,435A,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/small-engine-technician/
Special Events Coordinator,297B,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/special-events-coordinator/
Sprinkler and Fire Protection Installer,427A,Compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/sprinkler-and-fire-protection-installer/
Steamfitter,307A,Compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/steamfitter/
Surface Blaster,278B,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/surface-blaster/
Surface Mount Assembler,630B,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/surface-mount-assembler/
"Terrazzo, Tile and Marble Setter",241A,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/terrazzo-tile-and-marble-setter/
Thin Film Technician,225F,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/thin-film-technician/
Tool and Cutter Grinder,602C,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/tool-and-cutter-grinder/
Tool and Die Maker,430A,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/tool-and-die-maker/
Tool and Gauge Inspector,239B,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/tool-and-gauge-inspector/
Tool/Tooling Maker,630T,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/tooltooling-maker/
Tractor-Trailer Commercial Driver,638A,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/tractor-trailer-commercial-driver/
Transmission Technician,310D,Compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/transmission-technician/
Truck and Coach Technician,310T,Compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/truck-and-coach-technician/
Truck-Trailer Service Technician,310J,Compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/truck-trailer-service-technician/
Turf Equipment Technician,421C,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/turf-equipment-technician/
Utility Arborist,444B,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/utility-arborist/
Water Well Driller,605B,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/water-well-driller/
Welder,456A,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/welder/
